region,province,municipality,division,school_id,school_name,school_type,year_1_male,year_1_female,year_2_male,year_2_female,year_3_male,year_3_female,year_4_male,year_4_female,latitude,longitude
Region I - Ilocos Region,Ilocos Norte,Adams,Ilocos Norte,300001,Adams National High School,HS,24,16,17,12,13,16,8,12,18.45859,120.9057909
Region I - Ilocos Region,Ilocos Norte,Bacarra,Ilocos Norte,300002,Bacarra NCHS,HS,299,250,246,284,220,254,214,225,18.24977222,120.61305
Region I - Ilocos Region,Ilocos Norte,Bangui,Ilocos Norte,300003,Bangui NHS,HS,89,78,85,83,75,87,61,71,18.5356735,120.769735
Region I - Ilocos Region,Ilocos Norte,Banna (Espiritu),Ilocos Norte,300004,Banna National High School,HS,50,38,32,43,42,52,38,39,17.98035278,120.6581583
Region I - Ilocos Region,Ilocos Norte,City Of Batac,Batac City,300005,Batac National High School,HS,66,59,75,68,57,61,63,64,18.11075,120.5718778
Region I - Ilocos Region,Ilocos Norte,Burgos,Ilocos Norte,300006,Burgos Agro-Industrial School,HS,73,82,76,64,84,80,69,61,18.512416,120.636824
Region I - Ilocos Region,Ilocos Norte,Bacarra,Ilocos Norte,300007,Cadaratan National High School,HS,38,43,42,42,62,51,35,47,18.29330278,120.5983722
Region I - Ilocos Region,Ilocos Norte,Banna (Espiritu),Ilocos Norte,300008,Caestebanan NHS,HS,35,24,31,18,28,28,23,31,17.974081,120.706401
Region I - Ilocos Region,Ilocos Norte,Carasi,Ilocos Norte,300009,Carasi NHS,HS,20,9,12,23,23,17,9,16,18.139395,120.820784
Region I - Ilocos Region,Ilocos Norte,Banna (Espiritu),Ilocos Norte,300010,Caribquib NHS,HS,24,23,36,23,36,23,21,31,18.00158611,120.6685639
Region I - Ilocos Region,Ilocos Norte,Banna (Espiritu),Ilocos Norte,300011,Catagtaguen NHS,HS,41,43,28,27,41,37,34,45,17.96351111,120.6598333
Region I - Ilocos Region,Ilocos Norte,City Of Batac,Batac City,300012,Crispina Marcos Valdez NHS,HS,30,29,27,31,26,30,30,17,18.04587778,120.5940389
Region I - Ilocos Region,Ilocos Norte,Currimao,Ilocos Norte,300013,Currimao NHS,HS,30,32,33,34,27,22,36,26,17.991568,120.503569
Region I - Ilocos Region,Ilocos Norte,Pasuquin,Ilocos Norte,300014,Davila National High School,HS,58,47,48,55,47,55,45,39,18.4794832,120.5752348
Region I - Ilocos Region,Ilocos Norte,Dingras,Ilocos Norte,300015,Dingras NHS/Lt. Edgar Foz Mem. NHS,HS,111,107,98,119,94,94,73,90,18.13236111,120.6830444
