country,country_of_destination_2,country_of_destination_3,2007,2008,2009,2010,2011,2012,unemp,gdp
Land-Based,America,United States of America,9401,8050,6248,3705,4503,3441,4.9,52549.01
Land-Based,Asia,South Korea,14265,12367,14851,11697,10943,8979,3.6,34386.57
Land-Based,Asia,Taiwan,37136,38546,33751,36866,41896,41492,3.96,39600
Land-Based,Middle East,Qatar,56277,84342,89290,87813,100530,104622,0.2,135321.69
Land-Based,Asia,Singapore,49431,41678,54421,70251,146613,172690,2.1,80191.54
Land-Based,Middle East,Kuwait,37080,38903,45900,53010,65603,75286,2.2,67113
Land-Based,Asia,Brunei,14667,6930,7413,7907,15406,14907,6.9,66647.2
Land-Based,Middle East,United Arab Emirates,120657,193810,196815,201214,235775,259546,4.2,66102.19
Land-Based,Asia,Hong Kong,59169,78345,100142,101340,129575,131680,3.4,53379.74
Land-Based,Europe,Ireland,4740,4916,4527,3317,2874,1763,7.8,51899.2
Land-Based,Middle East,Saudi Arabia,238419,275933,291419,293049,316736,330040,5.6,50283.97
Land-Based,Middle East,Bahrain,9898,13079,15001,15434,18230,22271,3.7,44182
Land-Based,Oceania,Australia,4537,7625,7104,5915,6558,8008,5.8,43654.58
Land-Based,America,Canada,12380,17399,17344,13885,15658,19283,6.9,42890.88
Land-Based,Europe,United Kingdom,9525,9308,7071,5284,5621,3913,4.9,38657.79
Land-Based,Middle East,Oman,7463,10222,10502,10955,15029,16048,7.2,35982.75
Land-Based,Asia,Japan,8867,6555,6418,5938,9285,9947,3.1,35804.23
Land-Based,Europe,Italy,17855,22623,23159,25595,31704,25261,11.6,33587.12
Land-Based,Europe,Cyprus,2812,2385,2660,3000,3797,3484,11.7,30309.63
Land-Based,Africa,Equatorial Guinea,1780,1654,1692,1876,2020,1931,22.3,28271.8
Land-Based,Asia,Malaysia,9725,6034,7256,9802,16797,38407,3.4,25308.02
Land-Based,Middle East,Libya,5941,7731,10383,11604,2152,6481,19.5,13320.83
Land-Based,Middle East,Lebanon,468,12,1326,1327,896,1227,6.4,13117.25
Land-Based,Africa,Angola,2935,4289,5222,6255,5313,4294,26,6937.01
Land-Based,Africa,Nigeria,1601,12,252,1426,1691,1997,12.1,5638.89
Land-Based,Africa,Sudan,1061,1354,1540,1441,1941,1315,19.5,3927.49
Land-Based,Oceania,Papua New Guinea,2918,3279,3296,4134,9084,12250,2.5,2854.75
