pointa,pointb,fromlat,fromlong,tolat,tolong
2,3,11.56,104.9,-6.179,106.771
10,6,21.01,105.8,14.621,121.001
4,1,3.07,101.66,4.881,114.851
2,2,11.56,104.9,11.561,104.901
1,10,4.88,114.85,21.011,105.801
1,4,4.88,114.85,3.071,101.661
10,1,21.01,105.8,4.881,114.851
7,9,1.29,103.86,-8.649,125.601
2,7,11.56,104.9,1.291,103.861
10,5,21.01,105.8,19.751,96.101
10,4,21.01,105.8,3.071,101.661
4,6,3.07,101.66,14.621,121.001
9,6,-8.65,125.6,14.621,121.001
5,5,19.75,96.1,19.751,96.101
7,2,1.29,103.86,11.561,104.901
9,1,-8.65,125.6,4.881,114.851
10,3,21.01,105.8,-6.179,106.771
10,4,21.01,105.8,3.071,101.661
3,5,-6.18,106.77,19.751,96.101
2,9,11.56,104.9,-8.649,125.601
6,3,14.62,121,-6.179,106.771
1,2,4.88,114.85,11.561,104.901
7,4,1.29,103.86,3.071,101.661
10,10,21.01,105.8,21.011,105.801
9,10,-8.65,125.6,21.011,105.801
7,2,1.29,103.86,11.561,104.901
1,9,4.88,114.85,-8.649,125.601
7,10,1.29,103.86,21.011,105.801
3,5,-6.18,106.77,19.751,96.101
4,4,3.07,101.66,3.071,101.661
7,1,1.29,103.86,4.881,114.851
5,9,19.75,96.1,-8.649,125.601
3,4,-6.18,106.77,3.071,101.661
9,4,-8.65,125.6,3.071,101.661
4,10,3.07,101.66,21.011,105.801
7,9,1.29,103.86,-8.649,125.601
3,7,-6.18,106.77,1.291,103.861
10,4,21.01,105.8,3.071,101.661
5,2,19.75,96.1,11.561,104.901
1,8,4.88,114.85,13.721,100.581
7,2,1.29,103.86,11.561,104.901
9,3,-8.65,125.6,-6.179,106.771
9,8,-8.65,125.6,13.721,100.581
3,8,-6.18,106.77,13.721,100.581
5,7,19.75,96.1,1.291,103.861
7,10,1.29,103.86,21.011,105.801
8,3,13.72,100.58,-6.179,106.771
7,10,1.29,103.86,21.011,105.801
9,7,-8.65,125.6,1.291,103.861
1,6,4.88,114.85,14.621,121.001
4,3,3.07,101.66,-6.179,106.771
5,7,19.75,96.1,1.291,103.861
2,7,11.56,104.9,1.291,103.861
8,10,13.72,100.58,21.011,105.801
4,7,3.07,101.66,1.291,103.861
8,5,13.72,100.58,19.751,96.101
2,10,11.56,104.9,21.011,105.801
9,3,-8.65,125.6,-6.179,106.771
10,5,21.01,105.8,19.751,96.101
2,3,11.56,104.9,-6.179,106.771
8,2,13.72,100.58,11.561,104.901
6,2,14.62,121,11.561,104.901
3,9,-6.18,106.77,-8.649,125.601
9,1,-8.65,125.6,4.881,114.851
6,9,14.62,121,-8.649,125.601
10,5,21.01,105.8,19.751,96.101
9,6,-8.65,125.6,14.621,121.001
5,4,19.75,96.1,3.071,101.661
9,3,-8.65,125.6,-6.179,106.771
7,5,1.29,103.86,19.751,96.101
9,4,-8.65,125.6,3.071,101.661
6,2,14.62,121,11.561,104.901
8,3,13.72,100.58,-6.179,106.771
8,10,13.72,100.58,21.011,105.801
9,10,-8.65,125.6,21.011,105.801
6,4,14.62,121,3.071,101.661
10,5,21.01,105.8,19.751,96.101
3,1,-6.18,106.77,4.881,114.851
8,2,13.72,100.58,11.561,104.901
4,4,3.07,101.66,3.071,101.661
5,10,19.75,96.1,21.011,105.801
7,10,1.29,103.86,21.011,105.801
8,9,13.72,100.58,-8.649,125.601
9,6,-8.65,125.6,14.621,121.001
9,10,-8.65,125.6,21.011,105.801
4,4,3.07,101.66,3.071,101.661
10,5,21.01,105.8,19.751,96.101
10,10,21.01,105.8,21.011,105.801
8,3,13.72,100.58,-6.179,106.771
4,4,3.07,101.66,3.071,101.661
4,6,3.07,101.66,14.621,121.001
7,9,1.29,103.86,-8.649,125.601
3,4,-6.18,106.77,3.071,101.661
6,8,14.62,121,13.721,100.581
2,4,11.56,104.9,3.071,101.661
7,2,1.29,103.86,11.561,104.901
5,6,19.75,96.1,14.621,121.001
10,4,21.01,105.8,3.071,101.661
9,7,-8.65,125.6,1.291,103.861
4,2,3.07,101.66,11.561,104.901
9,6,-8.65,125.6,14.621,121.001
2,9,11.56,104.9,-8.649,125.601
10,7,21.01,105.8,1.291,103.861
2,2,11.56,104.9,11.561,104.901
4,2,3.07,101.66,11.561,104.901
