STATE,Date,Home Value,Structure Cost,Land Value,Land Share (Pct),Home Price Index,Land Price Index
AL,1975,24783.69,23544.51,1239.18,0.05,0.222,0.000
AL,1975,25100.87,23845.83,1255.04,0.05,0.225,0.000
AL,1975,25471.01,24197.46,1273.55,0.05,0.228,0.000
AL,1975,25901.54,24606.47,1295.08,0.05,0.232,0.000
AL,1976,26444.96,25122.71,1322.25,0.05,0.237,0.000
AL,1976,27055.91,25693.28,1362.63,0.05,0.242,0.000
AL,1976,27744.00,26132.66,1611.33,0.06,0.248,0.000
AL,1976,28527.58,26651.29,1876.28,0.07,0.255,0.000
AL,1977,29389.73,27214.81,2174.92,0.07,0.263,0.000
AL,1977,30301.65,27801.50,2500.15,0.08,0.271,0.000
AL,1977,31228.20,28385.42,2842.78,0.09,0.280,0.000
AL,1977,32120.42,28942.31,3178.11,0.10,0.288,0.000
AL,1978,33013.46,29465.66,3547.80,0.11,0.296,0.000
AL,1978,33971.05,29975.27,3995.78,0.12,0.304,0.000
AL,1978,35000.16,30521.68,4478.48,0.13,0.313,0.000
AL,1978,35988.08,31149.05,4839.03,0.13,0.322,0.000
AL,1979,36900.93,31883.41,5017.52,0.14,0.330,0.000
AL,1979,37712.68,32704.40,5008.28,0.13,0.338,0.000
AL,1979,38434.30,33564.95,4869.35,0.13,0.344,0.000
AL,1979,39066.96,34421.67,4645.30,0.12,0.350,0.000
AL,1980,39593.80,35236.04,4357.76,0.11,0.354,0.000
AL,1980,40192.66,36002.79,4189.87,0.10,0.360,0.000
AL,1980,40851.03,36717.29,4133.74,0.10,0.366,0.000
AL,1980,41427.56,37376.33,4051.24,0.10,0.371,0.000
AL,1981,41923.52,37986.88,3936.64,0.09,0.375,0.000
AL,1981,42378.95,38574.24,3804.71,0.09,0.379,0.000
AL,1981,42753.19,39181.12,3572.07,0.08,0.383,0.000
AL,1981,43026.68,39847.31,3179.37,0.07,0.385,0.000
AL,1982,43326.46,40595.03,2731.43,0.06,0.388,0.000
AL,1982,43736.24,41368.44,2367.80,0.05,0.392,0.000
AL,1982,44310.66,42095.13,2215.53,0.05,0.397,0.000
AL,1982,45050.06,42797.56,2252.50,0.05,0.403,0.000
AL,1983,45815.18,43524.42,2290.76,0.05,0.410,0.000
AL,1983,46577.99,44249.09,2328.90,0.05,0.417,0.000
AL,1983,47360.21,44992.20,2368.01,0.05,0.424,0.000
AL,1983,48156.47,45748.64,2407.82,0.05,0.431,0.000
AL,1984,48987.44,46538.07,2449.37,0.05,0.439,0.000
AL,1984,49731.49,47244.91,2486.57,0.05,0.445,0.001
AL,1984,50413.26,47892.60,2520.66,0.05,0.451,0.001
AL,1984,51027.12,48475.76,2551.36,0.05,0.457,0.001
AL,1985,51693.24,49108.57,2584.66,0.05,0.463,0.001
AL,1985,52482.31,49858.19,2624.12,0.05,0.470,0.001
AL,1985,53374.09,50705.39,2668.70,0.05,0.478,0.001
AL,1985,54328.70,51612.27,2716.44,0.05,0.486,0.001
AL,1986,55340.09,52573.09,2767.00,0.05,0.495,0.002
AL,1986,56399.90,53579.90,2819.99,0.05,0.505,0.002
AL,1986,57468.96,54595.52,2873.45,0.05,0.514,0.003
