a,b,lat1,long1,lat2,long2
4,5,26.19,50.5,23.81,90.45
40,9,41.24,69.3,39.93,116.34
22,37,3.07,101.66,39.92,32.8
1,36,34.49,69.17,-8.64,125.61
8,5,11.56,104.9,23.81,90.45
8,26,11.56,104.9,27.73,85.33
8,23,11.56,104.9,4.15,73.47
36,34,-8.65,125.6,38.61,68.8
23,36,4.14,73.46,-8.64,125.61
20,18,42.79,74.58,51.18,71.35
32,41,1.29,103.86,21.02,105.81
27,7,23.5,58.57,4.89,114.86
28,3,33.7,73.01,40.42,49.96
12,39,28.66,77.13,24.45,54.4
9,20,39.92,116.33,42.8,74.59
25,6,19.75,96.1,27.49,89.55
14,18,33.37,44.37,51.18,71.35
41,25,21.01,105.8,19.76,96.11
2,12,40.18,44.47,28.67,77.14
6,35,27.48,89.54,13.73,100.59
1,35,34.49,69.17,13.73,100.59
31,23,24.58,46.71,4.15,73.47
5,15,23.8,90.44,31.24,34.79
8,8,11.56,104.9,11.57,104.91
23,13,4.14,73.46,-6.17,106.78
33,4,6.9,79.91,26.2,50.51
15,23,31.23,34.78,4.15,73.47
14,4,33.37,44.37,26.2,50.51
16,29,35.68,139.68,14.63,121.01
2,39,40.18,44.47,24.45,54.4
27,14,23.5,58.57,33.38,44.38
17,35,31.9,35.98,13.73,100.59
18,5,51.17,71.34,23.81,90.45
19,17,29.31,47.96,31.91,35.99
3,20,40.41,49.95,42.8,74.59
13,37,-6.18,106.77,39.92,32.8
29,6,14.62,121,27.49,89.55
10,27,35.17,33.33,23.51,58.58
7,40,4.88,114.85,41.25,69.31
39,8,24.44,54.39,11.57,104.91
42,20,15.4,44.19,42.8,74.59
35,28,13.72,100.58,33.71,73.02
37,11,39.91,32.79,41.69,44.81
25,14,19.75,96.1,33.38,44.38
12,33,28.66,77.13,6.91,79.92
5,23,23.8,90.44,4.15,73.47
10,31,35.17,33.33,24.59,46.72
24,19,48.03,106.95,29.32,47.97
38,22,37.92,58.41,3.08,101.67
35,40,13.72,100.58,41.25,69.31
28,31,33.7,73.01,24.59,46.72
18,43,51.17,71.34,#N/A,#N/A
25,32,19.75,96.1,1.3,103.87
1,25,34.49,69.17,19.76,96.11
41,42,21.01,105.8,15.41,44.2
8,19,11.56,104.9,29.32,47.97
17,6,31.9,35.98,27.49,89.55
21,18,33.8,35.52,51.18,71.35
22,7,3.07,101.66,4.89,114.86
29,40,14.62,121,41.25,69.31
8,20,11.56,104.9,42.8,74.59
1,12,34.49,69.17,28.67,77.14
14,33,33.37,44.37,6.91,79.92
23,16,4.14,73.46,35.69,139.69
42,15,15.4,44.19,31.24,34.79
28,8,33.7,73.01,11.57,104.91
11,27,41.68,44.8,23.51,58.58
4,40,26.19,50.5,41.25,69.31
18,7,51.17,71.34,4.89,114.86
4,39,26.19,50.5,24.45,54.4
19,41,29.31,47.96,21.02,105.81
3,38,40.41,49.95,37.93,58.42
40,43,41.24,69.3,#N/A,#N/A
36,19,-8.65,125.6,29.32,47.97
40,29,41.24,69.3,14.63,121.01
26,17,27.72,85.32,31.91,35.99
4,27,26.19,50.5,23.51,58.58
29,27,14.62,121,23.51,58.58
4,25,26.19,50.5,19.76,96.11
13,43,-6.18,106.77,#N/A,#N/A
4,15,26.19,50.5,31.24,34.79
3,43,40.41,49.95,#N/A,#N/A
19,33,29.31,47.96,6.91,79.92
37,20,39.91,32.79,42.8,74.59
11,13,41.68,44.8,-6.17,106.78
19,1,29.31,47.96,34.5,69.18
35,4,13.72,100.58,26.2,50.51
28,25,33.7,73.01,19.76,96.11
18,8,51.17,71.34,11.57,104.91
1,34,34.49,69.17,38.61,68.8
4,36,26.19,50.5,-8.64,125.61
29,20,14.62,121,42.8,74.59
19,2,29.31,47.96,40.19,44.48
38,34,37.92,58.41,38.61,68.8
25,7,19.75,96.1,4.89,114.86
7,31,4.88,114.85,24.59,46.72
12,26,28.66,77.13,27.73,85.33
34,30,38.6,68.79,25.23,51.51
12,3,28.66,77.13,40.42,49.96
35,43,13.72,100.58,#N/A,#N/A
15,38,31.23,34.78,37.93,58.42
21,38,33.8,35.52,37.93,58.42
15,29,31.23,34.78,14.63,121.01
19,4,29.31,47.96,26.2,50.51
2,13,40.18,44.47,-6.17,106.78
28,11,33.7,73.01,41.69,44.81
11,17,41.68,44.8,31.91,35.99
33,22,6.9,79.91,3.08,101.67
33,36,6.9,79.91,-8.64,125.61
7,31,4.88,114.85,24.59,46.72
32,11,1.29,103.86,41.69,44.81
25,38,19.75,96.1,37.93,58.42
6,20,27.48,89.54,42.8,74.59
4,9,26.19,50.5,39.93,116.34
8,5,11.56,104.9,23.81,90.45
19,42,29.31,47.96,15.41,44.2
21,13,33.8,35.52,-6.17,106.78
33,3,6.9,79.91,40.42,49.96
42,25,15.4,44.19,19.76,96.11
29,31,14.62,121,24.59,46.72
4,28,26.19,50.5,33.71,73.02
9,24,39.92,116.33,48.04,106.96
21,12,33.8,35.52,28.67,77.14
33,2,6.9,79.91,40.19,44.48
7,7,4.88,114.85,4.89,114.86
19,14,29.31,47.96,33.38,44.38
35,22,13.72,100.58,3.08,101.67
26,9,27.72,85.32,39.93,116.34
9,24,39.92,116.33,48.04,106.96
19,17,29.31,47.96,31.91,35.99
34,21,38.6,68.79,33.81,35.53
35,12,13.72,100.58,28.67,77.14
2,31,40.18,44.47,24.59,46.72
41,23,21.01,105.8,4.15,73.47
35,23,13.72,100.58,4.15,73.47
12,13,28.66,77.13,-6.17,106.78
20,26,42.79,74.58,27.73,85.33
15,16,31.23,34.78,35.69,139.69
38,17,37.92,58.41,31.91,35.99
35,1,13.72,100.58,34.5,69.18
1,43,34.49,69.17,#N/A,#N/A
20,11,42.79,74.58,41.69,44.81
31,13,24.58,46.71,-6.17,106.78
9,40,39.92,116.33,41.25,69.31
1,23,34.49,69.17,4.15,73.47
4,9,26.19,50.5,39.93,116.34
22,35,3.07,101.66,13.73,100.59
35,34,13.72,100.58,38.61,68.8
30,33,25.22,51.5,6.91,79.92
23,11,4.14,73.46,41.69,44.81
42,29,15.4,44.19,14.63,121.01
4,3,26.19,50.5,40.42,49.96
29,1,14.62,121,34.5,69.18
4,12,26.19,50.5,28.67,77.14
41,5,21.01,105.8,23.81,90.45
33,10,6.9,79.91,35.18,33.34
19,43,29.31,47.96,#N/A,#N/A
34,36,38.6,68.79,-8.64,125.61
17,4,31.9,35.98,26.2,50.51
41,32,21.01,105.8,1.3,103.87
31,16,24.58,46.71,35.69,139.69
39,16,24.44,54.39,35.69,139.69
11,26,41.68,44.8,27.73,85.33
19,39,29.31,47.96,24.45,54.4
2,17,40.18,44.47,31.91,35.99
33,6,6.9,79.91,27.49,89.55
39,22,24.44,54.39,3.08,101.67
10,35,35.17,33.33,13.73,100.59
18,35,51.17,71.34,13.73,100.59
2,14,40.18,44.47,33.38,44.38
34,10,38.6,68.79,35.18,33.34
4,35,26.19,50.5,13.73,100.59
2,23,40.18,44.47,4.15,73.47
6,28,27.48,89.54,33.71,73.02
18,4,51.17,71.34,26.2,50.51
26,35,27.72,85.32,13.73,100.59
40,16,41.24,69.3,35.69,139.69
4,36,26.19,50.5,-8.64,125.61
27,4,23.5,58.57,26.2,50.51
19,32,29.31,47.96,1.3,103.87
26,24,27.72,85.32,48.04,106.96
12,39,28.66,77.13,24.45,54.4
32,17,1.29,103.86,31.91,35.99
14,15,33.37,44.37,31.24,34.79
7,41,4.88,114.85,21.02,105.81
32,16,1.29,103.86,35.69,139.69
40,9,41.24,69.3,39.93,116.34
25,23,19.75,96.1,4.15,73.47
36,2,-8.65,125.6,40.19,44.48
23,12,4.14,73.46,28.67,77.14
4,24,26.19,50.5,48.04,106.96
35,33,13.72,100.58,6.91,79.92
18,34,51.17,71.34,38.61,68.8
41,41,21.01,105.8,21.02,105.81
30,32,25.22,51.5,1.3,103.87
33,27,6.9,79.91,23.51,58.58
5,18,23.8,90.44,51.18,71.35
28,29,33.7,73.01,14.63,121.01
30,31,25.22,51.5,24.59,46.72
24,26,48.03,106.95,27.73,85.33
41,29,21.01,105.8,14.63,121.01
4,39,26.19,50.5,24.45,54.4
41,1,21.01,105.8,34.5,69.18
14,12,33.37,44.37,28.67,77.14
42,9,15.4,44.19,39.93,116.34
9,22,39.92,116.33,3.08,101.67
26,8,27.72,85.32,11.57,104.91
36,7,-8.65,125.6,4.89,114.86
4,27,26.19,50.5,23.51,58.58
1,5,34.49,69.17,23.81,90.45
42,33,15.4,44.19,6.91,79.92
26,24,27.72,85.32,48.04,106.96
8,26,11.56,104.9,27.73,85.33
34,33,38.6,68.79,6.91,79.92
13,18,-6.18,106.77,51.18,71.35
